AGORA ID,Official name,Casual name,Link to document,Collections,Short summary,Long summary,Tags,Applications: Agriculture and resource extraction,"Applications: Arts, sports, leisure, travel, and lifestyle",Applications: Broadcasting and media production,Applications: Business services and analytics,Applications: Construction and field services,Applications: Consumer goods,Applications: Education,Applications: Energy and utilities,Applications: Finance and investment,Applications: Government: benefits and welfare,Applications: Government: judicial and law enforcement,Applications: Government: military and public safety,Applications: Government: other applications/unspecified,Applications: Manufacturing and process automation,"Applications: Medicine, life sciences and public health",Applications: Networking and telecommunications,"Applications: Sales, retail, and customer relations",Applications: Security,Applications: Transportation,Harms: Detrimental content,Harms: Discrimination,Harms: Ecological harm,Harms: Financial loss,Harms: Harm to health/safety,Harms: Harm to infrastructure,Harms: Harm to property,"Harms: Violation of civil or human rights, including privacy",Incentives: Access to business opportunities,Incentives: Civil liability,Incentives: Criminal liability,Incentives: Fines,Incentives: Imprisonment,Incentives: Subsidies,Risk factors: Bias,Risk factors: Interpretability and explainability,Risk factors: Privacy,Risk factors: Reliability,Risk factors: Reliability: Robustness,Risk factors: Safety,Risk factors: Security,Risk factors: Security: Cybersecurity,Risk factors: Security: Dissemination,Risk factors: Transparency,Strategies: Convening,Strategies: Disclosure,Strategies: Disclosure: About evaluation,Strategies: Disclosure: About incidents,Strategies: Disclosure: About inputs,Strategies: Disclosure: Accuracy thereof,Strategies: Disclosure: In deployment,Strategies: Disclosure: In standard form,Strategies: Evaluation,Strategies: Evaluation: Adversarial testing,Strategies: Evaluation: Conformity assessment,Strategies: Evaluation: External auditing,Strategies: Evaluation: Impact assessment,Strategies: Evaluation: Post-market monitoring,Strategies: Governance development,Strategies: Government study or report,Strategies: Government support,Strategies: Government support: AI workforce-related,Strategies: Government support: For R&D,Strategies: Input controls,Strategies: Input controls: Compute circulation,Strategies: Input controls: Compute use,Strategies: Input controls: Data circulation,Strategies: Input controls: Data use,"Strategies: Licensing, registration, and certification",Strategies: New institution,Strategies: Performance requirements,Strategies: Pilots and testbeds,Strategies: Tiering,Strategies: Tiering: Tiering based on domain of application,Strategies: Tiering: Tiering based on generality,Strategies: Tiering: Tiering based on impact,Strategies: Tiering: Tiering based on inputs,Strategies: Tiering: Tiering based on planning ability
1,"National Defense Authorization Act for Fiscal Year 2022, Section 1531 (""Digital development infrastructure plan and working group"")","FY2022 NDAA, Section 1531 (""Digital development infrastructure plan and working group"")",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,NDAA provisions;U.S. federal laws,"Instructs the Secretary of Defense to develop a plan for establishing AI-related information technology infrastructure, and to create a related working group.","Instructs the Secretary of Defense to develop a plan for establishing AI-related information technology infrastructure, including a technical plan and guidance, a governance structure with relevant guidance and policies, and prototype development and platform environments.

Instructs the Secretary to harmonize the required plan with various existing plans and strategies. Establishes a plan working group comprised of senior DOD officials.

Instructs the Secretary to assemble enterprise data sets in various AI application domains.",Strategies: Government study or report;Strategies: Government support;Strategies: Government support: For R&D;Strategies: Convening;Strategies: Governance development;Strategies: New institution;Applications: Government: military and public safety,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,"National Defense Authorization Act for Fiscal Year 2022, Section 226 (""Review of artificial intelligence applications and establishment of performance metrics"")","FY2022 NDAA, Section 226 (""Review of artificial intelligence applications and establishment of performance metrics"")",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,NDAA provisions;U.S. federal laws,"Instructs the Secretary of Defense to review, and establish metrics and objectives for, the potential integration of artificial intelligence into Department of Defense platforms, processes, and operations.","Directs the Secretary of Defense to study potential applications of artificial intelligence to Department of Defense platforms, processes, and operations, and to establish related metrics and objectives.

Specifies study and metric requirements related to AI-related skill gaps; modernization activities; exercises, wargames, and experimentation; logistics and sustainment; and business operations.

Requires the Secretary to report to Congress within 120 days after completion of the required study.","Strategies: Evaluation;Strategies: Government study or report;Strategies: Governance development;Strategies: Performance requirements;Applications: Medicine, life sciences and public health;Applications: Transportation;Applications: Consumer goods;Applications: Sales, retail, and customer relations;Applications: Business services and analytics;Applications: Government: military and public safety",False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,"National Defense Authorization Act for Fiscal Year 2022, Section 227 (""Modification of the joint common foundation program"")","FY2022 NDAA, Section 227 (""Modification of the joint common foundation program"")",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,NDAA provisions;U.S. federal laws,"Instructs the Secretary of Defense to modify the Joint Common Foundation Program. This is to ensure greater support to Department of Defense (DoD) components by increasing the number of AI companies eligible to provide support, and making it easier for DoD components to more easily contract with commercial AI companies. ","Instructs the Secretary of Defense to modify the Joint Common Foundation Program and to ensure that the Department of Defense (DoD) can more easily contract with commercial AI companies for better support in efficiently developing new capabilities and applications. 

Instructs the Secretary of Defense to facilitate an increase in the number of eligible commercial AI companies to support DoD components, including cybersecurity processes.

",Risk factors: Security;Risk factors: Security: Cybersecurity;Strategies: Government support;Strategies: Convening;Applications: Government: other applications/unspecified,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"National Defense Authorization Act for Fiscal Year 2022, Section 232 (""Pilot program on data repositories to facilitate the development of artificial intelligence capabilities for the Department of Defense"")","FY2022 NDAA, Section 232 (""Pilot program on data repositories to facilitate the development of artificial intelligence capabilities for the Department of Defense"")",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,NDAA provisions;U.S. federal laws,Allows the Secretary of Defense to establish repositories of Department of Defense datasets relevant to AI development.,"Allows the Secretary of Defense to carry out a pilot program under which the Secretary establishes repositories of Department of Defense datasets relevant to AI development.

Requires data in the potential repositories to be accessible to appropriate public and private organizations for purposes of software and AI technology development for DoD procurement.

Requires repositories to include tools for correcting errors and gaps in data and evaluate model performance.

Requires the Secretary to report to Congress within 270 days after enactment whether the Secretary will, will not, or already has carried out the program.",Strategies: Evaluation;Strategies: Government study or report;Strategies: Pilots and testbeds;Applications: Government: military and public safety,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 212 (""Clarification of role of senior official with principal responsibility for artificial intelligence and machine learning"")","FY2023 NDAA, Section 212 (""Clarification of role of senior official with principal responsibility for artificial intelligence and machine learning"")",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,NDAA provisions;U.S. federal laws,Makes various technical amendments largely pertaining to modification of titles of senior officials with duties relevant to artificial intelligence.,Makes various technical amendments largely pertaining to modification of titles of senior officials with duties relevant to artificial intelligence.,Strategies: Evaluation;Strategies: Government support: AI workforce-related;Strategies: Pilots and testbeds;Applications: Security;Applications: Government: military and public safety,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 1513 (""Establishing projects for data management, artificial intelligence, and digital solutions"")","FY2023 NDAA, Section 1513 (""Establishing projects for data management, artificial intelligence, and digital solutions"")",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,NDAA provisions;U.S. federal laws,"Instructs the Deputy Secretary of Defense to establish projects for data management, artificial intelligence, and digital solutions, and to assign responsibilities for the execution and funding of the projects. ","Instructs the Deputy Secretary of Defense to establish projects for data management, artificial intelligence, and digital solutions for business efficiency and war-fighting capabilities intended to accelerate decision advantage.

Instructs the Deputy Secretary to task senior DOD officials with developing an actionable plan to integrate various AI applications into government operational environments, and to boost the population of government personnel with AI expertise.",Risk factors: Security;Risk factors: Security: Cybersecurity;Strategies: Evaluation;Strategies: Evaluation: Adversarial testing;Strategies: Government study or report;Strategies: Government support;Strategies: Government support: AI workforce-related;Applications: Business services and analytics;Applications: Government: military and public safety,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 1554 (""Roadmap and implementation plan for cyber adoption of artificial intelligence"")","FY2023 NDAA, Section 1554 (""Roadmap and implementation plan for cyber adoption of artificial intelligence"")",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,NDAA provisions;U.S. federal laws,"Requires the Commander of the United States Cyber Command and the Chief Information Officer of the Department of Defense to develop a five-year implementation plan for rapidly adopting and acquiring artificial intelligence systems to support the Department of Defense.

","Requires the Commander of the United States Cyber Command and the Chief Information Officer of the Department of Defense to develop a five-year implementation plan for rapidly adopting artificial intelligence systems to support the Department of Defense. 

The plan shall: 

(a) Identify and prioritize AI systems and data that currently affect, or may benefit in the future, the Department's cybersecurity and cyber operations. 

(b) Lay out a plan to acquire AI systems and data identified in part (a).

(c) Identify relevant skill deficiencies.

(d) Identify opportunities to solicit AI system operator feedback.

(e) Identify and address long term technology gaps for the Department's cyber war fighting mission.

(f) Evaluate the risks posed by adversary AI-based attacks.

(g) Furnish a timeline with target milestones, investments, and required expenditures.
 
(h) Incorporate metrics to evaluate AI adoption.

(i) Identify further funding, authorities, and policies that may be necessary.

(j) Define a maturity model describing desired cyber capabilities independent of specific technology solutions.






",Strategies: Evaluation;Strategies: Government study or report;Strategies: Convening;Strategies: Governance development;Applications: Government: military and public safety,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 6702 (""Additional responsibilities of Director of National Intelligence for artificial intelligence policies, standards, and guidance for the intelligence community"")","FY2023 NDAA, Section 6702 (""Additional responsibilities of Director of National Intelligence for artificial intelligence policies, standards, and guidance for the intelligence community"")",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,NDAA provisions;U.S. federal laws,"Requires the Director of National Intelligence and intelligence heads, to review and establish AI-related policies, aiming to boost AI adoption in the intelligence community.","Creates a new institution to govern, investigate, advise, produce, or otherwise act in relation to AI.

Requires the Director of National Intelligence and intelligence heads, to review and establish AI-related policies, aiming to boost AI adoption in the intelligence community.

Requires the heads of the elements of the Intelligence Community to ensure established or updated policies are consistent with the principles outlined in the guidance of the Office of the Director of National Intelligence.

Avails budget guidance to the heads of the intelligence community for developing the National Intelligence Program budget to facilitate the acquisition, development, use, and maintenance of element-specific artificial intelligence capabilities.

Instructs each lead and the Director of National Intelligence to identify a senior official within the element to serve as the designated element lead responsible for coordinating AI efforts.

Addresses government support for AI-related development activities.",Risk factors: Reliability;Risk factors: Security;Strategies: Evaluation;Strategies: Government support;Strategies: Government support: For R&D;Strategies: New institution;Applications: Security;Applications: Government: military and public safety,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 6717 (""Policy on required user adoption metrics in certain contracts for artificial intelligence and emerging technology software products"")","FY2023 NDAA, Section 6717 (""Policy on required user adoption metrics in certain contracts for artificial intelligence and emerging technology software products"")",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,NDAA provisions;U.S. federal laws,"Instructs the Director of National Intelligence to establish a policy regarding user adoption metrics for contracts and other agreements for the procurement of AI and emerging technology software products.
      
","Authorizes government support for AI-related activities

Instructs the Director of National Intelligence to establish a policy regarding user adoption metrics for contracts and other agreements for the procurement AI and emerging technology software products.

Requires an evaluation of AI systems, or of broader systems or processes that involve AI.

Requires each contract or agreement to include an understanding of the anticipated use of the covered AI or emerging technology product with a clear metric for success, for collecting user adoption metrics and for assessing the adoption of the covered product by such users.

Requires that prior to the procurement of, or the continuation of the use of, any AI and emerging technology product procured by the head of an element of the intelligence community, the head must determine a method for assessing the success of the covered product from user adoption metrics.

",Strategies: Evaluation;Strategies: Evaluation: Conformity assessment;Strategies: Government study or report;Strategies: Government support;Strategies: Governance development;Applications: Government: military and public safety,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 6721 (""Reports on integration of artificial intelligence within intelligence community"")","FY2023 NDAA, Section 6721 (""Reports on integration of artificial intelligence within intelligence community"")",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,NDAA provisions;U.S. federal laws,"Requires all designated element lead in the intelligence community to submit a report detailing their efforts in developing, acquiring, adopting, and maintaining artificial intelligence for enhancing intelligence collection, analysis, and internal workflows.


","
Addresses government support for AI-related research and development activities, the development of the AI workforce, including education and training in AI-related disciplines.

Requires a description of all authorities related to artificial intelligence use.

Requires a stipulation of element’s roles, responsibilities, and authorities for accelerating AI adoption.

Requires an evaluation of efforts to enhance intelligence capabilities through AI.

Requires a progress of each intelligence element in AI adoption.

Requires details of contracts with small or medium-sized emerging tech companies for AI products.

Requires details of positions established or filled within the element.

Requires a description of Intelligence community policies related to AI adoption and compliance assessments by elements.

Necessitates recommendations for efficient AI adoption in the intelligence community, considering technological advances.

Requires an overview of foreign adversaries' AI advances and steps to ensure U.S. outpaces them.

Requires an identification of resource or authority gaps and administrative or technical barriers to AI adoption.
require

",Strategies: Evaluation;Strategies: Evaluation: Conformity assessment;Strategies: Government study or report;Strategies: Government support;Strategies: Government support: For R&D;Strategies: Government support: AI workforce-related;Strategies: Governance development;Strategies: Performance requirements;Applications: Government: military and public safety,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
